,Dep,link,Dep,Course_type,ID,Course Name
55,GSAS,https://as.nida.ac.th/en/csis/#ตารางสอบ,CI,Elective courses,7203,Digital Transformation
56,GSAS,https://as.nida.ac.th/en/csis/#ตารางสอบ,CI,Elective courses,7204,Information Systems Auditing
57,GSAS,https://as.nida.ac.th/en/lscm/,ND,Foundation courses,4000,Foundation for Graduate Studies
58,GSAS,https://as.nida.ac.th/en/lscm/,LC,Foundation courses,4001,Reading Skills Development in English for Graduate Studies
59,GSAS,https://as.nida.ac.th/en/lscm/,LC,Foundation courses,4002,Integrated English Language Skills Development
60,GSAS,https://as.nida.ac.th/en/lscm/,LC,Foundation courses,4011,Remedial Reading Skills Development in English for Graduate Studies
61,GSAS,https://as.nida.ac.th/en/lscm/,LC,Foundation courses,4012,Remedial Integrated English Language Skills Development
62,GSAS,https://as.nida.ac.th/en/lscm/,LM,Foundation courses,4001,Mathematics and Statistics for Logistics Management
63,GSAS,https://as.nida.ac.th/en/lscm/,LM,Foundation courses,4002,English for Logistics Management
64,GSAS,https://as.nida.ac.th/en/lscm/,LM,Elective courses,7101,Customer Relationship Management
65,GSAS,https://as.nida.ac.th/en/lscm/,LM,Elective courses,7102,Supply Chain Risk Management
66,GSAS,https://as.nida.ac.th/en/lscm/,LM,Elective courses,7103,Project Management
67,GSAS,https://as.nida.ac.th/en/lscm/,LM,Elective courses,7201,Supply Chain Risk Management
68,GSAS,https://as.nida.ac.th/en/lscm/,LM,Elective courses,7202,Business Intelligence and Analytics
69,GSAS,https://as.nida.ac.th/en/lscm/,LM,Elective courses,7203,Revenue Management
70,GSAS,https://as.nida.ac.th/en/lscm/,LM,Elective courses,7204,Business Forecasting
71,GSAS,https://as.nida.ac.th/en/lscm/,LM,Elective courses,7301,International Logistics Management
72,GSAS,https://as.nida.ac.th/en/lscm/,LM,Elective courses,7302,Data Envelopment Analysis in Logistics Management
73,GSAS,https://as.nida.ac.th/en/lscm/,LM,Elective courses,7303,Activity Based Costing in Logistics Management
74,GSAS,https://as.nida.ac.th/en/lscm/,LM,Elective courses,7401,Negotiation and Conflict Management
75,GSAS,https://as.nida.ac.th/en/lscm/,LM,Elective courses,7402,Qualitative Research in Organizations
76,GSAS,https://as.nida.ac.th/en/lscm/,LM,Basic courses,5001,Data Analysis and Decision Models
77,GSAS,https://as.nida.ac.th/en/lscm/,LM,Basic courses,5002,Logistics and Supply Chain Management
78,GSAS,https://as.nida.ac.th/en/lscm/,LM,Basic courses,5003,Management Fundamental for Logistics Personnel
79,GSAS,https://as.nida.ac.th/en/lscm/,LM,Basic courses,5004,Information Technology for Logistics Management
80,GSAS,https://as.nida.ac.th/en/lscm/,LM,Core courses,6001,Inventory Management
81,GSAS,https://as.nida.ac.th/en/lscm/,LM,Core courses,6002,Warehouse Management
82,GSAS,https://as.nida.ac.th/en/lscm/,LM,Core courses,6003,Transportation and Distribution Network Management
83,GSAS,https://as.nida.ac.th/en/lscm/,LM,Core courses,6004,Supply Chain Management
84,GSAS,https://as.nida.ac.th/en/lscm/,LM,Seminars and selected topics,8001,International Seminar in Logistics Management
85,GSAS,https://as.nida.ac.th/en/lscm/,LM,Seminars and selected topics,8002,Directed Studies
86,GSAS,https://as.nida.ac.th/en/lscm/,LM,Seminars and selected topics,8003,Directed Studies
87,GSAS,https://as.nida.ac.th/en/lscm/,LM,Seminars and selected topics,8803,Selected Topics in Logistics Management
88,GSAS,https://as.nida.ac.th/en/lscm/,LM,Seminars and selected topics,8806,Selected Topics in Logistics Management
89,GSAS,https://as.nida.ac.th/en/lscm/,LM,Seminars and selected topics,8809,Selected Topics in Logistics Management
90,GSAS,https://as.nida.ac.th/en/lscm/,LM,Independent study,9000,Independent Study
91,GSAS,https://as.nida.ac.th/en/lscm/,LM,Independent study,9004,Thesis
92,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ND,Foundation courses,4000,Foundation for Graduate Studies
93,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,LC,Foundation courses,4001,Reading Skills Development in English for Graduate Studies
94,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,LC,Foundation courses,4002,Integrated English Language Skills Development
95,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,LC,Foundation courses,4011,Remedial Reading Skills Development in English for Graduate Studies
96,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,LC,Foundation courses,4012,Remedial Integrated English Language Skills Development
97,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Foundation courses,4003,English for Business Communications and Presentations
98,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Foundation courses,4010,Database Systems and Basic Concepts of Business Applications Development
99,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Basic courses,5010,"Enterprise IT and Emerging Technologies: ERP, Cloud, IoT, Blockchain and Fintech"
100,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Basic courses,5020,Machine Learning and Quantitative Methods for Business Analytics
101,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Core courses,6010,"Enterprise Data Management: Data Governance, Data Strategy, NoSQL and Big Data"
102,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Core courses,6020,Computer Networks and Cyber Security
103,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Core courses,6030,IT Strategic Planning and IT Projects  Management
104,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Core courses,6040,Managerial Accounting
105,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Core courses,6050,Human Resource Management and Organization Behavior
106,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Core courses,6060,Marketing Management and Digital Marketing
107,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7000,Systems Analysis and Design and Agile Methodologies
108,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7001,Enterprise Computing and Cloud Technologies
109,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7002,Financial Management
110,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7003,Operations Management
111,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7004,Economics for Management
112,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7005,Information Technology Law
113,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7050,Applied Analytics and Research Methodology
114,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7051,Deep Learning and Machine Learning in Big Data Analytics
115,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7052,Customer Relationship Management
116,GSAS,https://as.nida.ac.th/en/itm-2/#ตารางสอบ,ITM,Elective courses,7053,Blockchain and FinTech
